Section,Entry,Jurisdiction,Sponsor,Core mechanism / description,Thresholds / scope,Status and dates,Source,Confidence,Years with dated events,Permalink
"A","S.B. 53 — Transparency in Frontier AI Act (TFAIA)","CA","Sen. Scott Wiener (D)","Frontier AI framework; transparency reports; critical-incident reporting 15 days, or 24 hrs if imminent risk of death/serious injury ; whistleblower protections incl. anonymous channel with monthly updates; annual definitional review; CalCompute consortium; preempts local ordinances adopted on/after Jan 1, 2025 regulating frontier catastrophic risk","10²⁶ ops incl. fine-tuning/RL; ""large frontier developer"" = >$500M revenue; catastrophic risk = >50 deaths/serious injuries or >$1B damage","Signed: Sept 29, 2025 | Effective: Jan 1, 2026 (OES anonymized reporting & annual reviews from Jan 1, 2027)","Bill text — leginfo.ca.gov","HIGH","2025 2026 2027+","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-b-53-transparency-in-frontier-ai-act-tfaia"
"A","RAISE Act — Chapter 699 of 2025 (S.6953-B/A.6453-B), repealed and replaced by Chapter 96 of 2026 (S.8828/A.9449)","NY","Sen. Andrew Gounardes (D); Asm. Alex Bores (D)","Chapter 96 repeals the original Gen. Bus. Law Art. 44-B and enacts a new Art. 44-B (§§1420–1429) that copies TFAIA's frontier AI framework (§1421(1)) and transparency report (§1421(3)) — deemed compliant if published within a system/model card; incident reporting 72 hrs to the DFS Office, 24 hrs to law enforcement if imminent risk (§1422(3)); quarterly internal-use catastrophic-risk summaries (§1422(2)); large-developer disclosure statement with 5%/50% beneficial owners, renewed every 2 years , pro-rata assessment, $1,000/day for non-filing (§1428); new office within Dept. of Financial Services with broad rulemaking authority incl. ""additional reporting or publication requirements"" (§1429); scope limited to models ""developed, deployed, or operating in whole or in part in New York"" (§1425); exempts accredited colleges/universities and the Empire AI Consortium (§1426); §1427(3) expressly preserves a developer's right to argue another party caused the harm. Federal reciprocity is narrower than IL's: it covers incident reporting only (§1422(8)–(9)), and the designated federal standard need not require audits. Contains no whistleblower section and no audit mandate — both were in the June 2025 version and were removed","10²⁶ ops incl. fine-tuning/RL/material modifications (§1420(9)); >$500M revenue with affiliates, preceding calendar year (§1420(10)); catastrophic risk >50 deaths/serious injury or >$1B; equity-value loss excluded (§1423)","Signed: Original Dec 19, 2025; S.8828 passed Senate 58-1 (Jan 28, 2026), passed Assembly Mar 11, signed Mar 27, 2026 | Effective: Jan 1, 2027 (Chapter 96 §3 replaced the original ""90th day"" effective clause)","S.8828 text + votes — nysenate.gov · Cooley comparison to TFAIA","HIGH (enacted S.8828 text read on nysenate.gov)","2025 2026 2027+","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-raise-act-chapter-699-of-2025-s-6953-b-a-6453-b-repealed-and-replaced-"
"A","S.B. 315 — AI Safety Measures Act (Public Act 104-0538)","IL","Sen. Mary Edly-Allen (D-Lake County), chief sponsor; Rep. Daniel Didech (D-Buffalo Grove), House; broadly bipartisan co-sponsors (chief co-sponsors include Republicans Rezin, Hills, Curran)","Sec. 10: frontier AI framework (from Jan 1, 2028); transparency reports before/at deployment — deemed compliant if published within a system/model card; annual independent third-party audit (from Jan 1, 2028 or 90 days after qualifying), auditor must have no financial interest in developer and payment can't be conditioned on results; redacted audit report published within 30 days and sent to Agency + AG; quarterly internal-use catastrophic-risk summaries. Sec. 15: incident reporting 72 hrs to Illinois Emergency Management Agency and Office of Homeland Security (""Agency"") + AG; 24 hrs to appropriate authority if imminent risk of death/serious injury; public reporting mechanism; FOIA exemption for incident reports, internal-use assessments, unredacted audits, auditor work papers. Sec. 17 interoperability: developer may declare intent to comply via a designated federal law/regulation/guidance that (1) has substantially equivalent-or-stricter incident reporting, (3) is substantially equivalent in mitigating catastrophic risk, and (4) requires independent third-party audits — then failure to meet the federal standard is an IL violation. Sec. 18: disclosure statement with 5%+ beneficial owners (private) / 50%+ (public), renewed annually, pro-rata fee. Sec. 20: whistleblower protections for ""covered employees"" incl. anonymous channel with monthly updates and AG Workplace Rights Hotline; amends IL Whistleblower Act. Sec. 35: declares frontier-model regulation an exclusive State power — denies home rule . Legislative mechanics: introduced Jan 24, 2025 as a Predatory Loan Prevention Act technical bill; Senate Floor Amendment No. 1 (filed May 11, 2026) replaced the entire text; four floor amendments adopted May 21. Timing mismatch worth flagging: Sec. 10(c) transparency reports have no 2028 gate and so apply from the Jan 1, 2027 effective date, yet large-developer reports must summarize assessments ""conducted pursuant to the frontier AI framework"" — which isn't required until 2028","10²⁶ ops incl. original run + fine-tuning/RL/material modifications; ""large frontier developer"" = >$500M revenue with affiliates, preceding calendar year; catastrophic risk = >50 deaths/serious injury or >$1B (equity-value loss excluded, Sec. 25(c))","Signed: Sent to Governor June 26; signed July 6, 2026 (Gov. Pritzker) | Effective: Jan 1, 2027 (disclosure statements, incident reporting, whistleblower, transparency reports); framework + audit obligations from Jan 1, 2028","Enrolled text — ilga.gov · Bill status + amendments + roll calls — ilga.gov · Public Act 104-0538","HIGH (enrolled text read on ilga.gov)","2026 2027+","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-b-315-ai-safety-measures-act-public-act-104-0538"
"B","H.5576 — ""An Act relative to economic development in the commonwealth"" (Senate AI language = amendment S.3178; lineage: S.37 → S.2630 → S.3178)","MA","Sen. Barry Finegold (D); Sen. Mike Rush amendment for stronger evaluations","Frontier AI framework; AG civil-action enforcement; Senate version: mandatory independent third-party catastrophic-risk review at least every 120 days (the most frequent evaluation cadence among the bills reviewed); whistleblower protections; commission on further AI regulation. House version (passed July 8) contains no AI-safety language — only funding.","Senate text: >$500M annual AI-derived revenue or >$1B AI R&D spend; catastrophic risk 50+ deaths or $1B","Status (as of Sept 5, 2026): [PENDING] House passed 148-2 July 8; Senate struck all after the enacting clause and inserted S.3178 text July 24 (reprinted as S.3228); House non-concurred July 30; conference committee appointed July 30 (Senate: Finegold-Rodrigues-Durant; House: Michlewitz-Fiola-Soter). Official bill history checked live Sept 4, 2026: no action since July 30. Formal session ended July 31; informal sessions can still act but can't override a veto. Not enacted. OpenAI lobbying for IL-style annual audits; Anthropic for the stronger Rush amendment","H.5576 bill history — malegislature.gov · S.2630 text · S.3178 fact sheet","HIGH (malegislature.gov bill history read Sept 4, 2026)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-5576-an-act-relative-to-economic-development-in-the-commonwealth-sen"
"B","H.B. 4668 — Artificial Intelligence Safety and Security Transparency Act","MI","Rep. Lightner (R)","Safety & security protocol; transparency reports every 90 days ; annual third-party audit (published within 90 days); whistleblower protections with private right of action (90-day window, clear-and-convincing standard) + anonymous channel with monthly updates; AG enforcement. Appears to be a clone of the original June 2025 RAISE Act text — same $5M/$100M compute-cost thresholds, same 100-death threshold, same audit/whistleblower structure that NY later stripped out. Effective dates are written as ""Beginning January 1, 2026"" — already past, since the bill hasn't moved","Cost-based, not FLOP-based: ""large developer"" = trained a model costing ≥$5M in compute (at prevailing cloud prices) and ≥$100M aggregate compute cost in preceding 12 months; critical risk = >100 deaths/serious injuries or >$1B","Status (as of Sept 5, 2026): [STALLED] Introduced June 24, 2025 (referred to Judiciary); re-referred to Communications & Technology Mar 19, 2026. No hearings/votes found","Official introduced text — Michigan Legislature","HIGH (full bill text read)","2025 2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-b-4668-artificial-intelligence-safety-and-security-transparency-act"
"B","S.4446 / A.5275 — ""An Act concerning artificial intelligence safety"" ⟨R⟩","NJ","Asm. Andrew Macurdy (D-21); Sen. Raj Mukherji (D-32) for S.4446","Large frontier developers with NJ users must: implement protocols; file annual ""Risk Management Disclosure"" with AG, mapped item-by-item to the NIST AI RMF ; file pre-deployment ""New Model Risk Disclosure"" with replicable assessments; flag which sections were written by generative AI . AG publishes with redactions. AG may audit or contract a private auditor (discretionary). 5-year sunset. Defines ""critical safety incident"" but imposes no reporting obligation (orphaned definition). No whistleblower provisions","10²⁶ ops incl. fine-tuning/RL; ""large frontier developer"" = >$100M revenue (lowest of any bill); catastrophic harm = 25+ deaths/serious injuries or $1B (lowest casualty threshold of any bill); weapons list includes illegal firearms, lethal autonomous weapons, explosives — broader than CBRN","Status (as of Sept 5, 2026): [PENDING] A.5275 introduced June 15, 2026; referred to Assembly Science, Innovation & Technology Committee. S.4446 introduced June 11, 2026 — identical text (verified against njleg.gov)","A.5275 official text · S.4446 official text","HIGH (both chambers' texts read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-4446-a-5275-an-act-concerning-artificial-intelligence-safety-r"
"B","H.B. 3506 — Artificial Intelligence Safety and Security Protocol Act (2025)","IL","Rep. Daniel Didech (D); co-sponsor Rep. Matt Hanson (added Jan. 2026)","The FPF-counted 2025 Illinois frontier bill — gap resolved. Original-RAISE-style design, the same template as MI H.B. 4668: developers publish a safety and security protocol; risk assessment report every 90 days ; annual third-party audit of protocol compliance; redaction rules; whistleblower protections (Committee Amendment No. 1 narrowed scope to ""large developer"" and added employee civil damages); civil penalties. Illinois lineage: this 2025 SSP bill did not advance; the 2026 S.B. 3312/S.B. 315 switched to the TFAIA template and added the audit back — the state moved from the original-RAISE structure to California-plus-audits within twelve months","Floor Amendment No. 2: ""large developer"" = ≥$5M compute cost for a single model and ≥$100M aggregate compute cost over the preceding 12 months — the original-RAISE test","Status (as of Sept 5, 2026): [STALLED] Filed Feb. 7, 2025; passed Cybersecurity, Data Analytics & IT Committee 7–4 (Mar. 20, 2025) ; held on second reading; re-referred to Rules under Rule 19(a) Apr. 11, 2025 . Inactive, but not formally dead while the 104th General Assembly remains open","Official amendment text · ILGA status + amendments","HIGH (official amendment and status page read)","2025","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-b-3506-artificial-intelligence-safety-and-security-protocol-act-2025"
"B","S.B. 3444 — Artificial Intelligence Safety Act","IL","Sen. Bill Cunningham (D) ⟨R⟩","Different design from SB 315: a liability shield — developer not liable for critical harms absent intent/recklessness if it publishes a safety & security protocol and transparency report; deemed compliant if bound by EU rules or a federal agency agreement; sunsets if federal law creates overlapping requirements","Frontier models defined by compute or cost","Status (as of Sept 5, 2026): [STALLED] Introduced Feb 4, 2026; re-referred to Assignments May 22, 2026 (stalled) — superseded politically by SB 315","ilga.gov status","HIGH (ilga.gov synopsis)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-b-3444-artificial-intelligence-safety-act"
"B","S.B. 3312 — AI Safety Measures Act (original vehicle)","IL","Sen. Edly-Allen; House parallel H.B. 4799 ( ilga.gov ) ⟨R⟩","The standalone version of what became SB 315: frontier AI framework, IEMA incident reporting, ILCompute public cloud consortium, Dept. of Innovation & Technology definitional review. Its text was moved into SB 315 via floor amendment; SB 3312 itself stalled","10²⁶ ops; >$500M","Status (as of Sept 5, 2026): [STALLED] Re-referred to Assignments May 22, 2026 (stalled)","ilga.gov status","HIGH (ilga.gov synopsis)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-b-3312-ai-safety-measures-act-original-vehicle"
"B","H.B. 4705 — AI Public Safety and Child Protection Transparency Act","IL","Rep. Daniel Didech (D) ⟨R⟩; Senate parallel S.B. 3261 , sponsored by Sen. Mary Edly-Allen (D) and co-sponsors ( ILGA )","Hybrid: frontier developers and large chatbot providers must publish a public-safety and child-protection plan; AG incident-reporting mechanism; whistleblower protections; annual third-party audits of large frontier developers; AG rulemaking","10²⁶ ops; large frontier developer = ≥$500M annual revenue; large chatbot provider = ≥$25M annual revenue; a covered chatbot must also have ≥1M monthly active users and be foreseeably accessible by minors","Status (as of Sept 5, 2026): [STALLED] H.B. 4705 re-referred to Rules Committee Mar. 27, 2026; S.B. 3261 re-referred to Assignments May 22, 2026","Official H.B. 4705 text · H.B. 4705 status","HIGH (official text and status pages read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-b-4705-ai-public-safety-and-child-protection-transparency-act"
"B","H.B. 1898 / S.B. 2171 — Artificial Intelligence Public Safety and Child Protection Transparency Act ⟨R⟩","TN","Rep. Jason Zachary (R-Knoxville); Sen. Ken Yager (R-Kingston); 15 R / 1 D co-sponsors","CA/IL-style hybrid: large frontier developers publish a frontier safety plan; large chatbot providers (≥1M monthly users, minors) publish child-protection plans; incident reporting 15 days / 24 hrs imminent ; independent reviews; whistleblower protections; AG enforcement. Same title as IL HB 4705 — a model bill circulating in at least two states, Republican-sponsored in TN. Opposed by CCIA and CCAGW as ""outdated catastrophic-risk constructs""","10²⁶ ops; >$500M revenue","Status (as of Sept 5, 2026): [FAILED] House passed 94–0 (Apr 16, 2026) ; Senate referred SB 2171 to Commerce & Labor; not enacted before adjournment (tracker marks dead Apr 24). The official fiscal memorandum for the amended bill states an effective date of July 1, 2027","Introduced text — Tennessee General Assembly · Official bill page and actions · Official fiscal memorandum summarizing bill as amended · CCIA opposition letter","HIGH (introduced text, official amended-bill fiscal summary, and official actions read)","2026 2027+","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-b-1898-s-b-2171-artificial-intelligence-public-safety-and-child-prot"
"B","H.B. 286 (1st Substitute) — Artificial Intelligence Transparency Amendments ⟨NCSL⟩","UT","Rep. Doug Fiefia (R); Senate sponsor Sen. Michael K. McKell (R)","TFAIA-style public-safety plan plus a child-protection plan for covered chatbots; predeployment risk-assessment summaries; safety-incident reporting 15 days / 24 hrs if imminent to the Office of Artificial Intelligence Policy or appropriate public-safety authority; quarterly internal-use summaries; false-statement prohibition; anonymous internal reporting and employee anti-retaliation remedies. AG enforcement; $1M first / $3M subsequent civil penalties","10²⁶ ops; large frontier developer = ≥$500M annual revenue; catastrophic risk = >50 deaths/serious injuries or >$1B property loss; covered chatbot = ≥1M monthly active users and foreseeable access by minors","Status (as of Sept 5, 2026): [FAILED] Introduced Jan. 19, 2026; first substitute received an 8–0 favorable committee recommendation Jan. 27; moved from the third-reading calendar to Rules Mar. 3; enacting clause struck and filed among bills not passed Mar. 6","Official Utah bill page, versions, status, and votes · Introduced text · Official substitute comparison","HIGH (official text, comparison, status, and committee vote read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-b-286-1st-substitute-artificial-intelligence-transparency-amendments"
"B","S.B. 474 — Protecting Louisiana's Infrastructure from Artificial Intelligence Risk Act ⟨R⟩","LA","Sen. Gregory A. Miller","Frontier AI framework (annual review; material changes published in 30 days); transparency reports; quarterly internal-use risk summaries to the department; incident reporting 15 days / 24 hrs (imminent death/injury or active cyberattack on critical infrastructure ); annual independent audit from July 1, 2028 + annual written compliance certification; whistleblower protections with civil action and attorney fees; federal reciprocity for incident reporting; local preemption for ordinances after July 1, 2027; public-records exemption sunsets July 1, 2031; framed around energy, health-care, and port infrastructure","10²⁶; large frontier developer = >$500M annual gross revenue in the preceding calendar year","Status (as of Sept 5, 2026): [FAILED] Introduced Mar. 31, 2026; reported favorably by Commerce Committee Apr. 15; engrossed Apr. 20; floor amendments adopted Apr. 21 and ""returned to the Calendar, subject to call"" — never received final Senate passage; not enacted . Would have been effective Jan. 1, 2027","Engrossed text · Official Senate digest · Bill status","HIGH (official engrossed text, digest, and status page read)","2026 2027+","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-b-474-protecting-louisiana-s-infrastructure-from-artificial-intellig"
"B","S.358 / H.5224 ⟨R⟩","RI","Sen. Gu + 8 co-sponsors (S.358, Feb 21, 2025)","Different design: strict tort liability. Developers of covered models are strictly liable for injuries to non-users caused by model conduct that would be negligent, tortious, or criminal if done by a human, where the conduct was not intended or reasonably anticipated by the user or any fine-tuner; rebuttable presumption that the AI satisfies a tort's mental-state element (""it shall not be a defense that AI systems are incapable of having mental states""); affirmative defenses for meeting the human standard of care or pure capability failure. Resolves the FPF-identified Rhode Island gap","SB 1047's thresholds verbatim: 10²⁶ ops and >$100M compute cost; fine-tuning 3×10²⁵ ops and >$10M","Status (as of Sept 5, 2026): [STALLED] Referred to Senate Judiciary; no further action found","S.358 text — rilegislature.gov · H.5224 text","HIGH (official text read)","","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-358-h-5224-r"
"B","S.10373 / A.11636 — third-party verification of RAISE compliance ⟨R⟩","NY","Sen. Andrew Gounardes (D) — the RAISE Act's own sponsor","Adds new GBL §1425: large frontier developers must annually retain a third-party verifier to assess framework compliance, permissibility of redactions, and whether public statements match findings; summary published within 60 days; DFS/DIGIT to accredit verifiers by July 1, 2028 ; only accredited verifiers from Jan 1, 2029 ; FOIL exemption. Sponsor memo concedes the amended RAISE Act ""left a significant gap: … no mechanism exists to verify"" — the sponsor re-adding the audit requirement the March 2026 chapter amendment removed","Uses RAISE definitions","Status (as of Sept 5, 2026): [PENDING] Introduced May 15, 2026; in Senate Internet & Technology Committee","S.10373 text + sponsor memo — nysenate.gov","HIGH (official text and memo read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-10373-a-11636-third-party-verification-of-raise-compliance-r"
"B","S.10456 — minimum standards for frontier AI frameworks ⟨R⟩","NY","Sen. Andrew Gounardes (D)","Adds GBL §1430: DFS/DIGIT must adopt regulations by July 1, 2028 setting minimum standards for large frontier developers' frameworks, reviewed annually. Sponsor memo: the RAISE Act left ""the design of these frameworks solely in large developers' hands"" — a direct statement that the enacted law's self-defined-framework model is a gap","Uses RAISE definitions","Status (as of Sept 5, 2026): [PENDING] Introduced May 15, 2026; in Senate Internet & Technology Committee","S.10456 text + sponsor memo — nysenate.gov","HIGH (official text and memo read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-10456-minimum-standards-for-frontier-ai-frameworks-r"
"B.2","H.F. 4532 / S.F. 4509 — titled the ""Responsible Artificial Intelligence Safety and Education Act"" (RAISE Act) ⟨R⟩","MN","Rep. Jones (HF); Senate companion SF 4509","Written safety and security protocol before deployment (published, redacted copy to AG); deployment prohibited if it creates an ""unreasonable risk of critical harm"" ; annual protocol review; safety-incident disclosure to AG within 72 hrs; test records retained for replication; false-statement prohibition. Enforcement: AG civil penalties up to $10M first / $30M subsequent (the original NY RAISE Act figures) plus a private right of action for any injured person","No compute, cost, or revenue threshold: ""developer"" = any person that has trained at least one AI model. ""Critical harm"" = death/serious physical or mental injury of 25+ people or ≥$1,000,000 damages, via CBRN or autonomous conduct that would be an intent/recklessness/gross-negligence crime","Status: Introduced Mar 23, 2026; referred to House Commerce Finance and Policy; no further action","Official text — revisor.mn.gov · Status","HIGH (official text read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-f-4532-s-f-4509-titled-the-responsible-artificial-intelligence-safet"
"C","A.B. 1405 — Artificial intelligence: auditors: registration (Gov. Code §§11549.80–.86)","CA","Asm. Rebecca Bauer-Kahan (D); coauthors Sens. McNerney, Rubio, Wiener","Final (Aug 25 Senate-amended, concurred Aug 30) text read. GovOps must establish an AI Auditor Registry by Jan 1, 2029 (earlier drafts said 2027); from Jan 1, 2029 no person may offer, sell, or conduct a ""covered AI audit"" — an audit of internal controls/processes/systems ""necessary for compliance with state law"" — unless registered. Registrants disclose standards applied (ISO, NIST, AICPA, etc.) and basis for validity claims; report contents specified (scope, results, deficiencies, whether auditee followed its internal safety protocols, limitations, signed statement); 10-year retention; independence rules (no self-review, no job-seeking during audit, 12-month cooling-off for former auditee staff); auditor-employee whistleblower protection; GovOps may investigate and remove from registry with referral to AG; CPA-licensed auditors deemed compliant if they follow AICPA standards; registration number on all advertising; AI Auditors' Registration Fund","","Status: Passed Senate Aug 30 (29–10); Assembly concurred Aug 30 (60–6) ; to enrolling; Gov. Newsom deadline Sept 30","Official text, history, and votes — leginfo.ca.gov","HIGH (final passed text read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-a-b-1405-artificial-intelligence-auditors-registration-gov-code-11549-"
"C","S.B. 813 — Independent verification organizations (Gov. Code §§8898–8898.4)","CA","Sen. Jerry McNerney (D); coauthors Asm. Bauer-Kahan, Asm. Lowenthal; sponsored by Fathom","Enrolled text read. By Jan 1, 2028 the Government Operations Agency must: develop IVO designation application requirements and criteria (risk-assessment competence, technical expertise, conflict-of-interest management — IVO may be paid by the assessed party at market rates but not on terms conditioned on results — and operational independence); develop suspension/termination procedures; convene working groups that must include engineers from competing AI companies and AI safety experts ; report to the Legislature. Designated IVOs file annual reports. §8898.4 expressly: no liability solely for failing a standard; no state endorsement; no requirement that anyone engage an IVO or undergo a covered audit; an audit under the standard is ""relevant to, but not conclusive of"" a harm action — i.e., no presumption of reasonable care. Defines ""covered AI audit"" identically to AB 1405. The commission and liability-presumption design of earlier versions is gone","","Status: Passed Assembly Aug 30 (53–4); Senate concurred Aug 30 (37–0); enrolled Sept 1, 2026 ; Gov. Newsom deadline Sept 30","Official text, history, and votes — leginfo.ca.gov","HIGH (enrolled text read)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-s-b-813-independent-verification-organizations-gov-code-8898-8898-4"
"C","H.B. 628 — License AI risk mitigation organizations","OH","Rep. Ty Mathews (R)","Voluntary IVO license via AG; IVO proposes which specific risks it will verify; ""soft law"" — nothing requires a developer to seek verification","","Status: Referred to House Technology & Innovation; hearings Mar 17, 2026; no vote","Ohio Legislature page · LSC bill analysis","HIGH (official legislature page + LSC analysis)","2026","https://kunalssingh.com/us-frontier-ai-legislation-tracker/#rec-h-b-628-license-ai-risk-mitigation-organizations"
